id, name, version, is_ok, num_vuln, critical, high, medium, low
265, @storybook/components, v6.4.0-beta.28, True
266, @storybook/components, v6.4.0-beta.27, True
267, google-protobuf, v3.19.1, True
268, google-protobuf, v3.19.0, True
269, google-protobuf, v3.19.0-rc2, error, Couldn't find the requested package or version
270, google-protobuf, v3.19.0-rc1, error, Couldn't find the requested package or version
271, google-protobuf, v3.18.1, True
272, google-protobuf, v3.18.0, True
273, google-protobuf, v3.18.0-rc2, error, Couldn't find the requested package or version
274, google-protobuf, v3.18.0-rc1, error, Couldn't find the requested package or version
275, google-protobuf, v3.17.3, True
276, google-protobuf, v3.17.2, True
277, google-protobuf, v3.17.1, True
278, google-protobuf, v3.17.0, True
279, google-protobuf, v3.17.0-rc2, error, Couldn't find the requested package or version
280, google-protobuf, v3.17.0-rc1, error, Couldn't find the requested package or version
281, google-protobuf, v3.16.0, True
282, google-protobuf, v3.16.0-rc2, error, Couldn't find the requested package or version
283, google-protobuf, v3.15.8, True
284, google-protobuf, v3.16.0-rc1, error, Couldn't find the requested package or version
285, google-protobuf, v3.15.7, True
286, google-protobuf, v3.15.6, True
287, google-protobuf, v3.15.5, True
288, google-protobuf, v3.15.4, True
289, google-protobuf, v3.15.3, True
290, google-protobuf, v3.15.2, True
291, google-protobuf, v3.15.1, True
292, google-protobuf, v3.15.0, True
293, google-protobuf, v3.15.0-rc2, error, Couldn't find the requested package or version
294, google-protobuf, v3.15.0-rc1, error, Couldn't find the requested package or version
295, google-protobuf, v3.14.0, True
296, google-protobuf, v3.14.0-rc3, error, Couldn't find the requested package or version
297, lodash.flow, 4.0.0, True
298, lodash.flow, 3.0.0, True
299, lodash.trimend, 4.0.0, True
300, lodash.trimend, 3.0.0, True
301, lodash.shuffle, 4.0.0, True
302, lodash.shuffle, 3.0.0, True
303, lodash._mapcache, 4.0.0, True
304, lodash._mapcache, 3.0.0, True
305, lodash.isregexp, 4.0.0, True
306, lodash.isregexp, 3.0.0, True
307, lodash.chunk, 4.0.0, True
308, lodash.chunk, 3.0.0, True
309, lodash.sample, 4.0.0, True
310, lodash.sample, 3.0.0, True
311, lodash.isundefined, 4.0.0, True
312, lodash.isundefined, 3.0.0, True
313, lodash.forin, 4.0.0, True
314, lodash.forin, 3.0.0, True
315, lodash._baseismatch, 4.0.0, True
316, lodash._baseismatch, 3.0.0, True
317, lodash._cachehas, 4.0.0, True
318, lodash._cachehas, 3.0.0, True
319, lodash._arrayincludeswith, 4.0.0, True
320, lodash._arrayincludeswith, 3.0.0, True
321, lodash._arrayincludes, 4.0.0, True
322, lodash._arrayincludes, 3.0.0, True
323, lodash.partial, 4.0.0, True
324, lodash.partial, 3.0.0, True
325, lodash._setcache, 4.0.0, True
326, lodash._setcache, 3.0.0, True
327, lodash.assigninwith, 4.0.0, True
328, lodash.assigninwith, 3.0.0, True
329, lodash.groupby, 4.0.0, True
330, lodash.groupby, 3.0.0, True
331, lodash.hasin, 4.0.0, True
332, lodash.hasin, 3.0.0, True
333, lodash._stringtopath, 4.0.0, True
334, lodash._stringtopath, 3.0.0, True
335, lodash.isnative, 4.0.0, True
336, lodash.isnative, 3.0.0, True
337, lodash.curry, 4.0.0, True
338, lodash.curry, 3.0.0, True
339, lodash.tostring, 4.0.0, True
340, lodash.tostring, 3.0.0, True
341, lodash.repeat, 4.0.0, True
342, lodash.repeat, 3.0.0, True
343, lodash.reescape, 4.0.0, True
344, lodash.reescape, 3.0.0, True
345, lodash.reevaluate, 4.0.0, True
346, lodash.reevaluate, 3.0.0, True
347, lodash.forown, 4.0.0, True
348, lodash.forown, 3.0.0, True
349, lodash.now, 4.0.0, True
350, lodash.now, 3.0.0, True
351, lodash.topairs, 4.0.0, True
352, lodash.topairs, 3.0.0, True
353, lodash._baseset, 4.0.0, True
354, lodash._baseset, 3.0.0, True
355, lodash._baseslice, 4.0.0, True
356, lodash._baseslice, 3.0.0, True
357, lodash.isbuffer, 4.0.0, True
358, lodash.isbuffer, 3.0.0, True
359, lodash.reinterpolate, 4.0.0, True
360, lodash.reinterpolate, 3.0.0, True
361, lodash._baseiteratee, 4.0.0, True
362, lodash._baseiteratee, 3.0.0, True
363, lodash.trim, 4.0.0, True
364, lodash.trim, 3.0.0, True
365, lodash.iserror, 4.0.0, True
