id, name, version, is_ok, num_vuln, critical, high, medium, low
5408, @serialport/binding-mock, @serialport/bindings@2.0.4, error, Couldn't find the requested package or version
5409, @serialport/binding-mock, @serialport/bindings@2.0.3, error, Couldn't find the requested package or version
5410, @serialport/binding-mock, @serialport/bindings@2.0.2, error, Couldn't find the requested package or version
5411, @serialport/binding-mock, v6.2.2, False, 5, 0, 2, 3, 0
5412, @serialport/binding-mock, v6.2.1, False, 5, 0, 2, 3, 0
5413, @serialport/binding-mock, v6.2.0, False, 5, 0, 2, 3, 0
5414, @serialport/binding-mock, v6.1.1, False, 5, 0, 2, 3, 0
5415, @serialport/binding-mock, v6.1.0, False, 5, 0, 2, 3, 0
5416, @serialport/parser-cctalk, @serialport/bindings@9.2.4, error, Couldn't find the requested package or version
5417, @serialport/parser-cctalk, @serialport/bindings@9.2.1, error, Couldn't find the requested package or version
5418, @serialport/parser-cctalk, @serialport/bindings@9.2.0, error, Couldn't find the requested package or version
5419, @serialport/parser-cctalk, @serialport/bindings@9.1.0, error, Couldn't find the requested package or version
5420, @serialport/parser-cctalk, @serialport/bindings@9.0.8, error, Couldn't find the requested package or version
5421, @serialport/parser-cctalk, @serialport/bindings@9.0.7, error, Couldn't find the requested package or version
5422, @serialport/parser-cctalk, @serialport/bindings@9.0.4, error, Couldn't find the requested package or version
5423, @serialport/parser-cctalk, @serialport/bindings@9.0.3, error, Couldn't find the requested package or version
5424, @serialport/parser-cctalk, @serialport/bindings@9.0.2, error, Couldn't find the requested package or version
5425, @serialport/parser-cctalk, @serialport/bindings@9.0.1, error, Couldn't find the requested package or version
5426, @serialport/parser-cctalk, @serialport/bindings@9.0.0, error, Couldn't find the requested package or version
5427, @serialport/parser-cctalk, @serialport/bindings@8.0.8, error, Couldn't find the requested package or version
5428, @serialport/parser-cctalk, @serialport/bindings@8.0.7, error, Couldn't find the requested package or version
5429, @serialport/parser-cctalk, @serialport/bindings@8.0.6, error, Couldn't find the requested package or version
5430, @serialport/parser-cctalk, @serialport/bindings@8.0.4, error, Couldn't find the requested package or version
5431, @serialport/parser-cctalk, @serialport/bindings@8.0.3, error, Couldn't find the requested package or version
5432, @serialport/parser-cctalk, @serialport/bindings@8.0.2, error, Couldn't find the requested package or version
5433, @serialport/parser-cctalk, @serialport/bindings@8.0.1, error, Couldn't find the requested package or version
5434, @serialport/parser-cctalk, @serialport/bindings@2.0.8, error, Couldn't find the requested package or version
5435, @serialport/parser-cctalk, @serialport/bindings@2.0.7, error, Couldn't find the requested package or version
5436, @serialport/parser-cctalk, @serialport/bindings@2.0.6, error, Couldn't find the requested package or version
5437, @serialport/parser-cctalk, @serialport/bindings@2.0.5, error, Couldn't find the requested package or version
5438, @serialport/parser-cctalk, @serialport/bindings@2.0.4, error, Couldn't find the requested package or version
5439, @serialport/parser-cctalk, @serialport/bindings@2.0.3, error, Couldn't find the requested package or version
5440, @serialport/parser-cctalk, @serialport/bindings@2.0.2, error, Couldn't find the requested package or version
5441, @serialport/parser-cctalk, v6.2.2, False, 5, 0, 2, 3, 0
5442, @serialport/parser-cctalk, v6.2.1, False, 5, 0, 2, 3, 0
5443, @serialport/parser-cctalk, v6.2.0, False, 5, 0, 2, 3, 0
5444, @serialport/parser-cctalk, v6.1.1, False, 5, 0, 2, 3, 0
5445, @serialport/parser-cctalk, v6.1.0, False, 5, 0, 2, 3, 0
5446, @serialport/parser-ready, @serialport/bindings@9.2.4, error, Couldn't find the requested package or version
5447, @serialport/parser-ready, @serialport/bindings@9.2.1, error, Couldn't find the requested package or version
5448, @serialport/parser-ready, @serialport/bindings@9.2.0, error, Couldn't find the requested package or version
5449, @serialport/parser-ready, @serialport/bindings@9.1.0, error, Couldn't find the requested package or version
5450, @serialport/parser-ready, @serialport/bindings@9.0.8, error, Couldn't find the requested package or version
5451, @serialport/parser-ready, @serialport/bindings@9.0.7, error, Couldn't find the requested package or version
5452, @serialport/parser-ready, @serialport/bindings@9.0.4, error, Couldn't find the requested package or version
5453, @serialport/parser-ready, @serialport/bindings@9.0.3, error, Couldn't find the requested package or version
5454, @serialport/parser-ready, @serialport/bindings@9.0.2, error, Couldn't find the requested package or version
5455, @serialport/parser-ready, @serialport/bindings@9.0.1, error, Couldn't find the requested package or version
5456, @serialport/parser-ready, @serialport/bindings@9.0.0, error, Couldn't find the requested package or version
5457, @serialport/parser-ready, @serialport/bindings@8.0.8, error, Couldn't find the requested package or version
5458, @serialport/parser-ready, @serialport/bindings@8.0.7, error, Couldn't find the requested package or version
