X.1,Name,Release.Name,X,Repository.URL,Release.URL,id,is_ok,num_vuln,critical,high,medium,low
1209,formik,formik-native@2.1.10-next.6,8214,https://github.com/jaredpalmer/formik,https://github.com/formium/formik/releases/tag/formik-native%402.1.10-next.6,1209,error,Couldn't find the requested package or version,NA,NA,NA,NA
1210,formik,formik@3.0.0-next.6,8215,https://github.com/jaredpalmer/formik,https://github.com/formium/formik/releases/tag/formik%403.0.0-next.6,1210,error,Couldn't find the requested package or version,NA,NA,NA,NA
1211,formik,formik-native@2.1.10-next.5,8216,https://github.com/jaredpalmer/formik,https://github.com/formium/formik/releases/tag/formik-native%402.1.10-next.5,1211,error,Couldn't find the requested package or version,NA,NA,NA,NA
1212,formik,formik@3.0.0-next.5,8217,https://github.com/jaredpalmer/formik,https://github.com/formium/formik/releases/tag/formik%403.0.0-next.5,1212,error,Couldn't find the requested package or version,NA,NA,NA,NA
1213,formik,formik@3.0.0-next.4,8218,https://github.com/jaredpalmer/formik,https://github.com/formium/formik/releases/tag/formik%403.0.0-next.4,1213,error,Couldn't find the requested package or version,NA,NA,NA,NA
1214,formik,formik-native@2.1.10-next.4,8219,https://github.com/jaredpalmer/formik,https://github.com/formium/formik/releases/tag/formik-native%402.1.10-next.4,1214,error,Couldn't find the requested package or version,NA,NA,NA,NA
1215,formik,formik-native@2.1.10-next.3,8220,https://github.com/jaredpalmer/formik,https://github.com/formium/formik/releases/tag/formik-native%402.1.10-next.3,1215,error,Couldn't find the requested package or version,NA,NA,NA,NA
1216,formik,formik@3.0.0-next.3,8221,https://github.com/jaredpalmer/formik,https://github.com/formium/formik/releases/tag/formik%403.0.0-next.3,1216,error,Couldn't find the requested package or version,NA,NA,NA,NA
1217,formik,formik-native@2.1.13,8222,https://github.com/jaredpalmer/formik,https://github.com/formium/formik/releases/tag/formik-native%402.1.13,1217,error,Couldn't find the requested package or version,NA,NA,NA,NA
1218,formik,formik@2.2.5,8223,https://github.com/jaredpalmer/formik,https://github.com/formium/formik/releases/tag/formik%402.2.5,1218,error,Couldn't find the requested package or version,NA,NA,NA,NA
1219,formik,formik-native@2.1.12,8224,https://github.com/jaredpalmer/formik,https://github.com/formium/formik/releases/tag/formik-native%402.1.12,1219,error,Couldn't find the requested package or version,NA,NA,NA,NA
1220,formik,formik@2.2.4,8225,https://github.com/jaredpalmer/formik,https://github.com/formium/formik/releases/tag/formik%402.2.4,1220,error,Couldn't find the requested package or version,NA,NA,NA,NA
1221,formik,formik@3.0.0-next.2,8226,https://github.com/jaredpalmer/formik,https://github.com/formium/formik/releases/tag/formik%403.0.0-next.2,1221,error,Couldn't find the requested package or version,NA,NA,NA,NA
1222,formik,formik-native@2.1.10-next.2,8227,https://github.com/jaredpalmer/formik,https://github.com/formium/formik/releases/tag/formik-native%402.1.10-next.2,1222,error,Couldn't find the requested package or version,NA,NA,NA,NA
1223,formik,formik@2.2.3,8228,https://github.com/jaredpalmer/formik,https://github.com/formium/formik/releases/tag/formik%402.2.3,1223,error,Couldn't find the requested package or version,NA,NA,NA,NA
1224,formik,formik-native@2.1.11,8229,https://github.com/jaredpalmer/formik,https://github.com/formium/formik/releases/tag/formik-native%402.1.11,1224,error,Couldn't find the requested package or version,NA,NA,NA,NA
1225,formik,formik-native@2.1.10,8230,https://github.com/jaredpalmer/formik,https://github.com/formium/formik/releases/tag/formik-native%402.1.10,1225,error,Couldn't find the requested package or version,NA,NA,NA,NA
1226,formik,formik@2.2.2,8231,https://github.com/jaredpalmer/formik,https://github.com/formium/formik/releases/tag/formik%402.2.2,1226,error,Couldn't find the requested package or version,NA,NA,NA,NA
1229,rethinkdb,v2.3.6,8450,https://github.com/rethinkdb/rethinkdb,https://github.com/rethinkdb/rethinkdb/releases/tag/v2.3.6,1229,error,Couldn't find the requested package or version,NA,NA,NA,NA
1230,rethinkdb,v2.3.5,8451,https://github.com/rethinkdb/rethinkdb,https://github.com/rethinkdb/rethinkdb/releases/tag/v2.3.5,1230,error,Couldn't find the requested package or version,NA,NA,NA,NA
1231,rethinkdb,v2.3.4,8452,https://github.com/rethinkdb/rethinkdb,https://github.com/rethinkdb/rethinkdb/releases/tag/v2.3.4,1231,error,Couldn't find the requested package or version,NA,NA,NA,NA
1236,rethinkdb,v2.2.6,8457,https://github.com/rethinkdb/rethinkdb,https://github.com/rethinkdb/rethinkdb/releases/tag/v2.2.6,1236,error,Couldn't find the requested package or version,NA,NA,NA,NA
1237,rethinkdb,v2.2.5,8458,https://github.com/rethinkdb/rethinkdb,https://github.com/rethinkdb/rethinkdb/releases/tag/v2.2.5,1237,error,Couldn't find the requested package or version,NA,NA,NA,NA
1238,rethinkdb,v2.2.4,8459,https://github.com/rethinkdb/rethinkdb,https://github.com/rethinkdb/rethinkdb/releases/tag/v2.2.4,1238,error,Couldn't find the requested package or version,NA,NA,NA,NA
1239,rethinkdb,v2.1.6,8460,https://github.com/rethinkdb/rethinkdb,https://github.com/rethinkdb/rethinkdb/releases/tag/v2.1.6,1239,error,Couldn't find the requested package or version,NA,NA,NA,NA
1240,rethinkdb,v2.2.3-1,8461,https://github.com/rethinkdb/rethinkdb,https://github.com/rethinkdb/rethinkdb/releases/tag/v2.2.3-1,1240,error,Couldn't find the requested package or version,NA,NA,NA,NA
1244,rethinkdb,v2.1.5-2,8465,https://github.com/rethinkdb/rethinkdb,https://github.com/rethinkdb/rethinkdb/releases/tag/v2.1.5-2,1244,error,Couldn't find the requested package or version,NA,NA,NA,NA
1245,rethinkdb,v2.1.4,8466,https://github.com/rethinkdb/rethinkdb,https://github.com/rethinkdb/rethinkdb/releases/tag/v2.1.4,1245,error,Couldn't find the requested package or version,NA,NA,NA,NA
1246,rethinkdb,v2.1.3,8467,https://github.com/rethinkdb/rethinkdb,https://github.com/rethinkdb/rethinkdb/releases/tag/v2.1.3,1246,error,Couldn't find the requested package or version,NA,NA,NA,NA
1247,rethinkdb,v2.0.5,8468,https://github.com/rethinkdb/rethinkdb,https://github.com/rethinkdb/rethinkdb/releases/tag/v2.0.5,1247,error,Couldn't find the requested package or version,NA,NA,NA,NA
